Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=004020,2020.11.17,"32,400",700,-2.11%,"1,190,360","-86,491","-2,481","25,416,290",19.05%
https://finance.naver.com/item/frgn.nhn?code=005940,2020.11.23,"11,200",400,+3.70%,"1,647,891","+114,024","+262,417","41,282,819",14.67%
https://finance.naver.com/item/frgn.nhn?code=005940,2020.11.20,"10,800",0,0.00%,"841,102","-44,421","+60,153","41,020,402",14.58%
https://finance.naver.com/item/frgn.nhn?code=005940,2020.11.19,"10,800",0,0.00%,"1,001,731","-93,818","-4,965","40,956,380",14.55%
https://finance.naver.com/item/frgn.nhn?code=005940,2020.11.18,"10,800",100,-0.92%,"1,262,221","-97,359","-6,608","40,955,791",14.55%
https://finance.naver.com/item/frgn.nhn?code=005940,2020.11.17,"10,900",0,0.00%,"1,961,590","-88,247","-202,253","40,965,998",14.56%
https://finance.naver.com/item/frgn.nhn?code=131220,2020.11.23,"20,400","1,250",+6.53%,"5,372,988","+19,037","+1,898","51,901",0.70%
https://finance.naver.com/item/frgn.nhn?code=131220,2020.11.20,"19,150",800,-4.01%,"1,923,904",-156,"+3,075","50,003",0.67%
https://finance.naver.com/item/frgn.nhn?code=131220,2020.11.19,"19,950",150,-0.75%,"3,638,858","-17,792","-3,990","46,928",0.63%
https://finance.naver.com/item/frgn.nhn?code=131220,2020.11.18,"20,100",900,+4.69%,"12,533,588","+17,627","-7,939","50,918",0.68%
https://finance.naver.com/item/frgn.nhn?code=131220,2020.11.17,"19,200","2,800",+17.07%,"23,877,897",+261,"-10,403","58,857",0.79%
https://finance.naver.com/item/frgn.nhn?code=029780,2020.11.23,"34,900",150,+0.43%,"164,902","+15,888","+4,226","11,671,681",10.07%
https://finance.naver.com/item/frgn.nhn?code=029780,2020.11.20,"34,750",0,0.00%,"156,350","-16,263","+15,989","11,667,455",10.07%
https://finance.naver.com/item/frgn.nhn?code=029780,2020.11.19,"34,750","1,900",+5.78%,"416,655","+207,131","+32,816","11,650,782",10.06%
https://finance.naver.com/item/frgn.nhn?code=029780,2020.11.18,"32,850",750,+2.34%,"183,746","+29,120","+39,499","11,616,952",10.03%
https://finance.naver.com/item/frgn.nhn?code=029780,2020.11.17,"32,100",300,-0.93%,"177,790","-23,338","-12,557","11,580,207",10.00%
https://finance.naver.com/item/frgn.nhn?code=080720,2020.11.23,"21,600","1,050",+5.11%,"2,258,011","+23,687","+4,701","15,873",0.20%
https://finance.naver.com/item/frgn.nhn?code=080720,2020.11.20,"20,550",200,+0.98%,"4,650,868","-19,055","-4,719","11,172",0.14%
https://finance.naver.com/item/frgn.nhn?code=080720,2020.11.19,"20,350","1,250",+6.54%,"4,379,163","+25,591","-10,008","15,891",0.20%
https://finance.naver.com/item/frgn.nhn?code=080720,2020.11.18,"19,100",100,+0.53%,"453,023","-5,776","+6,677","25,899",0.33%
https://finance.naver.com/item/frgn.nhn?code=080720,2020.11.17,"19,000",500,+2.70%,"2,301,524","+5,659","-10,790","19,222",0.24%
https://finance.naver.com/item/frgn.nhn?code=006840,2020.11.23,"21,100",950,+4.71%,"121,495","+23,945","+23,149","1,265,102",9.55%
https://finance.naver.com/item/frgn.nhn?code=006840,2020.11.20,"20,150",300,+1.51%,"40,961",-740,"+1,713","1,241,953",9.37%
https://finance.naver.com/item/frgn.nhn?code=006840,2020.11.19,"19,850",600,-2.93%,"88,479","+1,641","-30,770","1,242,394",9.38%
https://finance.naver.com/item/frgn.nhn?code=006840,2020.11.18,"20,450",350,-1.68%,"55,041",-547,"+3,868","1,273,164",9.61%
https://finance.naver.com/item/frgn.nhn?code=006840,2020.11.17,"20,800",100,-0.48%,"64,596",+191,"-3,986","1,269,296",9.58%
https://finance.naver.com/item/frgn.nhn?code=010120,2020.11.23,"58,200","2,800",+5.05%,"391,632","+65,281","+20,498","4,275,170",14.25%
https://finance.naver.com/item/frgn.nhn?code=010120,2020.11.20,"55,400","1,000",+1.84%,"166,470","-43,552","+25,086","4,254,672",14.18%
https://finance.naver.com/item/frgn.nhn?code=010120,2020.11.19,"54,400","1,000",-1.81%,"142,032","-13,076","-25,518","4,229,154",14.10%
https://finance.naver.com/item/frgn.nhn?code=010120,2020.11.18,"55,400","2,000",+3.75%,"207,164","-16,810","+63,262","4,254,051",14.18%
https://finance.naver.com/item/frgn.nhn?code=010120,2020.11.17,"53,400",400,-0.74%,"169,539","-94,136","+50,826","4,191,194",13.97%
https://finance.naver.com/item/frgn.nhn?code=042700,2020.11.23,"12,800",200,+1.59%,"953,370","+39,895","-33,154","1,582,288",3.07%
https://finance.naver.com/item/frgn.nhn?code=042700,2020.11.20,"12,600",250,-1.95%,"600,706","-30,953","-88,407","1,615,442",3.14%
https://finance.naver.com/item/frgn.nhn?code=042700,2020.11.19,"12,850",550,+4.47%,"1,279,869","+8,334","+2,250","1,703,849",3.31%
