Link,날짜,종가,전일비,등락률,거래량,기관순 매매량,외국인 순매매량,외국인 보유주수,외국인 보유율
https://finance.naver.com/item/frgn.nhn?code=134790,2020.05.20,"43,400",900,+2.12%,"3,582",+20,+92,"14,128",0.71%
https://finance.naver.com/item/frgn.nhn?code=134790,2020.05.19,"42,500",500,+1.19%,"13,636",-454,"+1,023","14,036",0.70%
https://finance.naver.com/item/frgn.nhn?code=004970,2020.05.25,"10,000",50,-0.50%,"8,698",+548,+715,"734,768",4.59%
https://finance.naver.com/item/frgn.nhn?code=004970,2020.05.22,"10,050",100,-0.99%,"11,683",-42,-144,"734,053",4.59%
https://finance.naver.com/item/frgn.nhn?code=004970,2020.05.21,"10,150",50,-0.49%,"7,938",+699,"-1,453","734,197",4.59%
https://finance.naver.com/item/frgn.nhn?code=004970,2020.05.20,"10,200",50,+0.49%,"5,411",-560,-242,"735,650",4.60%
https://finance.naver.com/item/frgn.nhn?code=004970,2020.05.19,"10,150",150,+1.50%,"6,723",-479,-239,"735,892",4.60%
https://finance.naver.com/item/frgn.nhn?code=041920,2020.05.25,"21,250",850,+4.17%,"442,399","+13,847","-20,400","55,679",0.64%
https://finance.naver.com/item/frgn.nhn?code=041920,2020.05.22,"20,400",200,-0.97%,"276,342","+14,870","+17,681","76,079",0.88%
https://finance.naver.com/item/frgn.nhn?code=041920,2020.05.21,"20,600",450,+2.23%,"593,554","-2,182","-19,461","58,398",0.68%
https://finance.naver.com/item/frgn.nhn?code=041920,2020.05.20,"20,150",0,0.00%,"630,109","+29,322","-49,256","65,859",0.76%
https://finance.naver.com/item/frgn.nhn?code=041920,2020.05.19,"20,150","2,350",-10.44%,"1,192,754","-155,601","+84,300","115,115",1.33%
https://finance.naver.com/item/frgn.nhn?code=026890,2020.05.25,"10,700",600,+5.94%,"8,073,463","+25,252","+175,112","1,104,788",2.65%
https://finance.naver.com/item/frgn.nhn?code=026890,2020.05.22,"10,100",300,-2.88%,"3,565,634","+2,879","+131,084","929,676",2.23%
https://finance.naver.com/item/frgn.nhn?code=026890,2020.05.21,"10,400",500,-4.59%,"5,647,644",+383,"-137,243","820,558",1.97%
https://finance.naver.com/item/frgn.nhn?code=026890,2020.05.20,"10,900",600,+5.83%,"12,268,116","-39,764","+18,243","927,801",2.23%
https://finance.naver.com/item/frgn.nhn?code=026890,2020.05.19,"10,300",250,+2.49%,"4,710,954","+38,568","-27,157","909,558",2.18%
https://finance.naver.com/item/frgn.nhn?code=042000,2020.05.25,"61,800","8,800",+16.60%,"2,860,577","+38,785","+8,163","2,026,969",21.49%
https://finance.naver.com/item/frgn.nhn?code=042000,2020.05.22,"53,000",800,+1.53%,"1,138,562","-16,878","+5,965","2,018,806",21.41%
https://finance.naver.com/item/frgn.nhn?code=042000,2020.05.21,"52,200","8,000",+18.10%,"2,730,308","+134,996","+19,259","2,010,587",21.32%
https://finance.naver.com/item/frgn.nhn?code=042000,2020.05.20,"44,200",400,+0.91%,"348,316","-3,050","-4,825","1,993,467",21.14%
https://finance.naver.com/item/frgn.nhn?code=042000,2020.05.19,"43,800","1,250",+2.94%,"137,252","+1,838","-4,911","1,997,782",21.18%
https://finance.naver.com/item/frgn.nhn?code=105630,2020.05.25,"12,950",0,0.00%,"202,039","+32,187","-42,822","2,552,224",6.38%
https://finance.naver.com/item/frgn.nhn?code=105630,2020.05.22,"12,950",300,-2.26%,"338,084","+53,804","-19,802","2,595,046",6.49%
https://finance.naver.com/item/frgn.nhn?code=105630,2020.05.21,"13,250",450,+3.52%,"464,574","+92,113",-617,"2,613,848",6.53%
https://finance.naver.com/item/frgn.nhn?code=105630,2020.05.20,"12,800","1,100",+9.40%,"485,640","+147,616","-13,960","2,614,310",6.54%
https://finance.naver.com/item/frgn.nhn?code=105630,2020.05.19,"11,700",650,+5.88%,"202,524","+62,949","+3,742","2,628,084",6.57%
https://finance.naver.com/item/frgn.nhn?code=028300,2020.05.25,"104,500","2,200",+2.15%,"561,039","+17,249","+38,585","4,385,813",10.14%
https://finance.naver.com/item/frgn.nhn?code=028300,2020.05.22,"102,300",600,-0.58%,"460,654","-22,312","-10,615","4,347,228",10.05%
